step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
267,CASH_IN,696.25,C243419995,2213.1,1516.85,C407558043,14937.25,15633.5,0,0
94,PAYMENT,1577.01,C385014787,9665.72,8088.71,M182986287,113654.27,113437.1,0,0
417,PAYMENT,352.79,C136480246,2904.01,2551.22,M678336136,3948.34,3872.43,0,0
506,CASH_OUT,41.9,C184627354,754.69,712.79,C201090652,4507.26,4327.95,0,0
612,TRANSFER,132.75,C710036221,4236.52,4103.76,C969232886,14822.92,14955.68,0,0
603,PAYMENT,101.24,C589641383,1238.48,1122.24,M539458637,761.73,648.67,0,0
388,CASH_IN,280.61,C407120257,4730.99,4450.38,C960324709,396.34,676.94,0,0
417,CASH_OUT,356.64,C403290125,8613.23,8256.59,C164281209,56481.68,56425.13,0,0
43,CASH_OUT,396.24,C998244324,4247.22,3850.98,C170004180,2119.54,1855.82,0,0
265,CASH_OUT,3650.8,C372311243,15860.78,12209.98,C850115596,1363.75,1256.81,0,0
117,PAYMENT,1628.71,C879018592,10456.79,8828.08,M872738097,97.61,0.0,0,0
222,DEBIT,5393.61,C189573434,19564.19,14170.58,C802789939,3072.72,2918.91,0,0
436,CASH_OUT,747.96,C157086061,6486.59,5738.62,C145916566,414.2,173.69,0,0
135,CASH_OUT,73.84,C515988801,13821.96,13748.12,C227625510,6971.68,6928.54,0,0
394,PAYMENT,429.89,C422637300,3254.98,2810.09,M378420683,644.02,566.36,0,0
225,PAYMENT,2025.49,C505347957,12717.43,10641.94,M472697743,761.87,553.22,0,0
72,PAYMENT,1176.02,C558152152,18679.9,17503.88,M583570120,31.63,0.0,0,0
416,PAYMENT,429.73,C203335849,3577.64,3147.91,M138041061,193.08,0.0,0,0
131,PAYMENT,306.87,C838144204,1943.17,1636.3,M653063401,461.19,315.63,0,0
554,CASH_IN,33.11,C267281401,32610.01,32576.89,C761225869,23514.27,23547.38,0,0
313,CASH_IN,227.9,C781731101,800.84,572.94,C616014451,350.47,578.36,0,0
356,PAYMENT,242.79,C709177590,5996.92,5754.13,M992029821,721.59,438.49,0,0
511,PAYMENT,137.53,C338418721,3647.33,3494.8,M936043632,3296.24,3187.45,0,0
449,CASH_IN,109.28,C845751160,114414.14,114304.86,C620782120,72.0,181.28,0,0
407,PAYMENT,156.58,C342190826,4636.91,4465.33,M473723417,283.5,70.84,0,0
268,PAYMENT,573.11,C202956835,2932.11,2358.99,M740623192,10329.7,10271.93,0,0
408,DEBIT,746.97,C511524870,11497.17,10750.21,C336315943,715.5,632.66,0,0
201,PAYMENT,31.36,C676527684,3587.38,3556.02,M145427703,11975.13,11807.91,0,0
589,PAYMENT,120.53,C950594233,1691.33,1570.8,M313493246,710.83,575.37,0,0
381,CASH_OUT,545.89,C765243059,2481.01,1935.12,C593193450,4575.09,4513.58,0,0
254,PAYMENT,880.13,C660019615,14073.06,13192.93,M860038591,220.2,0.0,0,0
109,TRANSFER,53.05,C401859232,970.82,917.78,C455889453,3271.86,3324.91,0,0
171,CASH_IN,7614.97,C606977806,29951.43,22336.46,C875420890,717.31,8332.28,0,0
243,CASH_OUT,337.71,C663150832,8250.98,7913.27,C340007196,31743.72,31584.76,0,0
390,CASH_OUT,934.43,C991187712,6570.09,5635.66,C619693094,874.08,793.19,0,0
122,PAYMENT,117.28,C499901170,1178.2,1060.93,M871480865,879.63,660.98,0,0
668,PAYMENT,277.66,C707174709,1523.03,1245.37,M971872132,544.36,421.31,0,0
88,PAYMENT,1861.68,C950087884,9744.83,7883.15,M879063387,10880.13,10824.15,0,0
707,PAYMENT,774.76,C901918159,5140.22,4365.46,M875547226,285.85,160.08,0,0
155,TRANSFER,304.87,C257918508,4197.61,3892.73,C437250792,3941.86,4246.73,0,0
204,PAYMENT,1631.28,C606859582,17569.29,15938.01,M273042585,47.22,0.0,0,0
648,PAYMENT,625.51,C384679392,2823.84,2198.33,M628945173,524.05,394.73,0,0
210,PAYMENT,124.09,C671226538,3819.9,3695.81,M223012477,20349.0,20140.03,0,0
381,PAYMENT,6964.05,C428906117,57055.05,50041.01,M852584299,1062.16,864.32,0,0
527,PAYMENT,43.67,C201313020,948.59,904.92,M729497884,40951.87,40897.83,0,0
465,PAYMENT,46.92,C169929618,269.28,222.36,M415211700,586.1,542.68,0,0
453,PAYMENT,5698.37,C681076205,25255.24,19556.87,M747948394,570.77,517.03,0,0
186,PAYMENT,1037.58,C678567435,13279.87,12242.29,M105782690,246.54,9.89,0,0
585,PAYMENT,275.45,C761943757,1423.59,1148.14,M651608323,5420.19,5122.87,0,0
110,CASH_IN,65.72,C704269500,8593.6,8527.88,C611070399,156.82,222.54,0,0
127,PAYMENT,117.78,C193404101,26458.21,26340.43,M492351634,228.74,226.65,0,0
90,CASH_OUT,181.45,C819563622,1676.1,1519.64,C917538651,8212.68,8000.58,0,0
324,TRANSFER,1700.09,C112907909,16033.95,14333.85,C842373030,187.68,1887.77,0,0
513,CASH_OUT,47.15,C898731975,5738.99,5691.84,C218972073,9999.65,9930.56,0,0
415,CASH_OUT,542.23,C353415675,9173.56,8631.33,C534304557,307.35,130.29,0,0
168,CASH_OUT,356.09,C216189352,6322.36,5966.28,C614145048,164.0,68.43,0,0
476,PAYMENT,588.83,C649807260,6424.22,5835.4,M973557522,6647.13,6472.26,0,0
57,CASH_OUT,581.15,C847368343,19141.51,18560.36,C690004630,49.34,0.0,0,0
332,PAYMENT,62.16,C512364680,2388.93,2326.77,M390760544,15134.4,14835.53,0,0
406,PAYMENT,500.91,C473785842,3075.27,2574.36,M583549022,2123.23,1949.92,0,0
324,PAYMENT,396.13,C167597490,26932.12,26535.99,M134590914,5.14,0.0,0,0
325,CASH_OUT,1041.3,C505964399,5285.58,4244.28,C731455661,12034.4,11984.56,0,0
197,DEBIT,334.24,C529804952,23419.89,23085.65,C838288449,3720.48,3622.33,0,0
459,PAYMENT,4444.95,C469103029,15333.53,10888.57,M828735254,173.57,0.0,0,0
48,TRANSFER,68.37,C920044390,5592.16,5523.8,C566733920,927.29,995.66,0,0
401,CASH_IN,1148.6,C191610922,8476.23,7352.63,C174900657,1277.97,2406.58,0,0
293,CASH_OUT,345.89,C585635024,1199.57,838.68,C289779625,1165.26,977.21,0,0
539,CASH_OUT,7928.79,C842497593,17959.19,10030.4,C899016829,219447.85,219209.07,0,0
266,PAYMENT,19.39,C162924259,1437.77,1418.38,M790522400,7905.74,7742.01,0,0
220,CASH_IN,1370.54,C421585654,10351.19,8980.66,C479091411,1354.99,2725.53,0,0
377,TRANSFER,39.92,C329714560,38738.94,38699.02,C809297499,2117.36,2157.28,0,0
424,PAYMENT,243.53,C134616668,4310.84,4092.31,M201597743,1227.48,1073.71,0,0
565,CASH_OUT,1606.8,C113524367,13115.22,11458.42,C469781738,4358.83,4062.93,0,0
244,PAYMENT,341.32,C755155671,4084.63,3743.31,M704507922,3026.76,2747.73,0,0
213,CASH_OUT,267.52,C445463768,1571.57,1304.04,C596523800,362.85,156.62,0,0
91,CASH_IN,1309.93,C319888987,18079.35,16769.42,C540610104,1024.23,2334.17,0,0
479,CASH_OUT,5.0,C303631848,7131.15,7126.15,C972601963,341.26,202.63,0,0
664,CASH_OUT,523.77,C291605327,6918.83,6395.06,C564323620,1178.62,974.37,0,0
667,PAYMENT,103.54,C321325378,5421.79,5323.25,M674729126,11374.82,11102.99,0,0
307,CASH_OUT,332.51,C251071983,3468.92,3136.41,C290413675,507.95,454.46,0,0
12,PAYMENT,321.77,C182111912,7481.69,7159.91,M134111643,187.95,0.0,0,0
158,CASH_OUT,902.96,C623768056,7674.4,6771.44,C225946357,250.94,212.84,0,0
271,CASH_OUT,120.97,C789254596,2867.49,2771.51,C415078807,100.13,51.76,0,0
506,PAYMENT,35.49,C125180116,2380.33,2344.84,M446495523,14731.84,14694.98,0,0
597,PAYMENT,3411.26,C246781824,63414.64,60003.37,M278468989,5076.04,4948.36,0,0
390,PAYMENT,286.19,C290210777,6223.18,5936.98,M798197878,1068.91,816.44,0,0
196,PAYMENT,148.23,C408329857,1475.24,1327.01,M349739991,11249.88,10984.74,0,0
129,PAYMENT,167.53,C387015546,622.68,455.15,M255581698,921.71,687.9,0,0
167,CASH_OUT,615.85,C822134805,30260.03,29644.18,C711357752,72.35,0.0,0,0
58,PAYMENT,1299.78,C945477865,22074.13,20774.35,M108561500,170.33,107.73,0,0
306,PAYMENT,89.52,C644331319,735.66,646.14,M539445076,1915.58,1899.73,0,0
144,PAYMENT,143.35,C938040447,3571.88,3428.53,M394180174,23717.63,23613.03,0,0
187,PAYMENT,2744.33,C658515400,21287.88,18528.55,M823626636,49.03,0.0,0,0
563,TRANSFER,218.77,C205757127,2864.35,2645.58,C876999492,206.46,435.23,0,0
19,PAYMENT,89.93,C439700430,820.59,730.66,M259662791,58.35,0.0,0,0
697,CASH_IN,62.18,C818509036,14692.59,14630.42,C337086914,1167.85,1230.03,0,0
662,TRANSFER,1253.13,C808821817,18390.39,17137.27,C782306321,4750.86,6003.99,0,0
595,CASH_IN,1748.88,C332103300,12621.91,10873.03,C732684971,1010.22,2759.09,0,0
11,CASH_IN,784.64,C198970658,40033.44,39248.8,C420692612,2290.5,3075.14,0,0
659,PAYMENT,555.72,C205566283,12272.69,11716.97,M817174341,649.71,594.16,0,0
471,CASH_OUT,2518.49,C572811936,7307.83,4789.34,C366765837,92.07,12.85,0,0
517,PAYMENT,157.6,C944574489,7721.18,7563.58,M486646855,14233.39,14146.07,0,0
289,PAYMENT,186.95,C754044771,1097.9,895.95,M531444424,3343.55,3254.39,0,0
313,PAYMENT,29.84,C632814106,1895.66,1865.82,M288603997,699.34,432.06,0,0
416,CASH_OUT,730.83,C196242977,7753.84,7023.01,C300102283,1806.91,1697.62,0,0
304,PAYMENT,513.08,C939139640,1597.09,1084.01,M899236324,20992.83,20697.66,0,0
148,TRANSFER,64.0,C706961537,1300.15,1186.15,C934781804,113.26,177.26,0,0
696,TRANSFER,142.46,C478921465,1039.38,896.91,C956412212,3569.06,3711.53,0,0
684,TRANSFER,268.39,C390105580,17110.11,16866.72,C714328767,2210.47,2478.86,0,0
129,CASH_OUT,35.48,C354901406,2233.51,2198.02,C903422473,2724.79,2564.33,0,0
571,PAYMENT,33.9,C547891924,400.07,366.17,M560803150,159.78,0.0,0,0
171,TRANSFER,191.22,C804550758,8019.24,7828.02,C437484553,238.47,429.69,0,0
353,TRANSFER,5.65,C735948391,8469.55,8463.9,C701968199,1335.99,1341.64,0,0
40,CASH_OUT,101.11,C650103810,2516.91,2415.8,C901174772,2763.13,2734.75,0,0
128,CASH_OUT,152.14,C506677803,1976.42,1824.28,C935550733,5311.54,5092.11,0,0
379,CASH_OUT,98.28,C863212104,2962.18,2863.9,C186291509,313.22,265.21,0,0
339,PAYMENT,1151.3,C883404504,33346.9,32195.6,M693618189,3390.17,3168.15,0,0
40,CASH_OUT,409.21,C809950389,5773.57,5364.36,C177612100,104471.39,104174.11,0,0
190,CASH_IN,78.77,C534602735,18268.62,18189.85,C130355201,839.22,917.99,0,0
208,TRANSFER,224.84,C545875925,7211.81,6991.97,C378721252,1522.36,1747.2,0,0
524,CASH_OUT,83.52,C361312141,34003.31,33944.79,C990478760,5802.17,5759.04,0,0
497,TRANSFER,1203.82,C480533348,12298.21,11094.39,C426170692,8744.98,9948.8,0,0
164,TRANSFER,107.48,C817841604,423.85,316.37,C170869603,1912.6,2020.08,0,0
182,PAYMENT,308.44,C762325250,8164.39,7855.95,M965018384,1751.6,1655.35,0,0
165,CASH_OUT,2463.17,C235679363,2463.17,0.0,C504448731,0.0,2463.17,1,0
453,CASH_OUT,327.28,C321086424,3538.81,3211.53,C910300211,22.27,0.0,0,0
186,PAYMENT,78.42,C334031720,1731.33,1652.91,M146450908,530.35,523.13,0,0
103,PAYMENT,315.62,C841323701,3369.36,3053.75,M277249242,1712.52,1635.88,0,0
21,PAYMENT,1146.09,C477947064,6293.91,5147.82,M779082056,273.92,135.17,0,0
163,CASH_OUT,112.25,C289671495,1151.89,1039.64,C294270430,148.9,146.31,0,0
365,PAYMENT,89.86,C974667015,3286.79,3196.93,M378216836,29294.97,29050.63,0,0
576,PAYMENT,52.8,C562521778,7740.71,7687.91,M158781048,462.71,178.19,0,0
37,PAYMENT,365.08,C910208177,9680.02,9314.94,M295115618,441.95,317.35,0,0
690,TRANSFER,32.48,C982364531,1079.63,1047.15,C359258178,80.04,112.52,0,0
403,CASH_IN,826.94,C488865084,5599.26,4772.33,C424133950,432.52,1259.46,0,0
230,PAYMENT,582.31,C581409866,7212.9,6630.59,M214520031,249.6,86.09,0,0
527,CASH_IN,28.52,C914427431,425.79,397.27,C767967870,311.07,339.59,0,0
551,PAYMENT,44.65,C297833395,1286.16,1241.51,M811028387,467.72,320.1,0,0
327,CASH_IN,55.03,C986854054,2548.54,2493.51,C830787205,340.12,395.15,0,0
352,CASH_IN,37.72,C294138939,591.72,554.0,C306164036,4079.96,4117.68,0,0
458,TRANSFER,214.93,C122909980,14381.8,14166.87,C268751805,3620.38,3835.31,0,0
595,CASH_OUT,166.93,C659656653,17279.0,17112.07,C883598230,45718.05,45711.65,0,0
623,TRANSFER,222.73,C961238868,1960.46,1737.73,C987833732,563.23,785.96,0,0
695,PAYMENT,54.37,C656931600,2634.04,2584.66,M188115035,1898.63,1824.21,0,0
517,PAYMENT,78.4,C365895891,395.69,317.28,M791609839,546.84,264.22,0,0
238,CASH_OUT,184915.44,C903507195,410923.2,226007.76,C859588357,0.0,184915.44,1,0
264,DEBIT,102.03,C396446568,3018.81,2916.78,C877228025,9107.19,8902.04,0,0
251,CASH_OUT,556.78,C644489513,2496.28,1939.5,C258764684,259.58,0.0,0,0
515,PAYMENT,849.67,C444668250,2286.93,1437.25,M177458162,4543.73,4386.15,0,0
648,TRANSFER,14.32,C938225677,423.01,408.69,C312715527,401.32,415.64,0,0
62,PAYMENT,270.89,C312891687,1859.08,1573.18,M725290200,258.8,141.04,0,0
29,PAYMENT,592.55,C843482642,1086.59,494.04,M160153409,589.62,453.09,0,0
287,PAYMENT,5.0,C424484531,2217.04,2212.04,M334746774,32733.97,32461.16,0,0
340,CASH_IN,60.87,C422329853,13024.2,12963.32,C907205126,133.18,174.05,0,0
526,PAYMENT,745.03,C855120002,6819.88,6074.85,M758010343,780.24,514.29,0,0
529,PAYMENT,1542.13,C870808412,22226.08,20683.95,M883429124,1253.84,1066.24,0,0
659,CASH_IN,52.93,C787716659,3068.93,3016.0,C818771882,66122.59,66175.52,0,0
103,PAYMENT,628.49,C668803260,2087.78,1459.29,M109490756,902.64,883.18,0,0
68,CASH_IN,157.19,C864175688,24015.14,23857.96,C523126828,2730.01,2887.2,0,0
225,TRANSFER,353.75,C675054612,3058.14,2704.39,C629080918,10769.61,11123.37,0,0
559,CASH_IN,370.38,C547845093,5851.22,5480.85,C250765324,3330.03,3700.41,0,0
461,PAYMENT,31.78,C404061252,1330.67,1323.89,M425595034,7040.23,6909.17,0,0
620,CASH_OUT,3682.92,C966592748,25002.67,21319.75,C196906618,13701.01,13423.28,0,0
163,CASH_OUT,5525.3,C429166823,34583.18,29057.88,C910402241,14920.79,14855.41,0,0
330,DEBIT,410.48,C447193951,9136.75,8726.28,C943820635,4364.39,4134.32,0,0
592,PAYMENT,3400.34,C644262200,8909.99,5509.65,M987748143,59.12,0.0,0,0
54,TRANSFER,1971.92,C791828491,20205.6,18258.68,C968107081,404.64,2356.56,0,0
467,CASH_OUT,148.23,C697668290,5302.37,5104.14,C654445088,8086.21,7880.51,0,0
646,CASH_OUT,354.29,C225930681,4063.3,3714.02,C987984649,7248.32,6965.82,0,0
129,CASH_IN,1103.0,C819012801,7315.54,6212.54,C734914884,22068.07,23171.07,0,0
487,PAYMENT,38.91,C570006294,7134.84,7095.93,M674916227,1661.19,1555.63,0,0
686,CASH_OUT,1157.17,C738536533,6453.13,5320.96,C742280402,14887.85,14591.14,0,0
138,CASH_OUT,161.97,C779404528,2809.65,2647.67,C775894563,503.26,313.0,0,0
656,PAYMENT,482.27,C226242351,2079.4,1597.13,M795381872,828.6,675.43,0,0
256,PAYMENT,338.43,C504475730,4255.12,3916.69,M982435582,4724.33,4489.31,0,0
179,CASH_OUT,95.96,C345971605,5178.62,5082.65,C489287186,28189.88,27915.43,0,0
453,CASH_OUT,216.31,C782384843,2001.73,1785.42,C950776586,634.47,490.83,0,0
406,CASH_OUT,237.14,C916751716,1641.68,1404.54,C468734831,112.19,24.7,0,0
285,CASH_IN,48.45,C182514632,470.89,422.44,C488677537,7677.17,7725.62,0,0
107,TRANSFER,383.57,C924443324,12495.96,12112.39,C971144887,8160.08,8543.66,0,0
243,PAYMENT,1607.96,C944527631,7837.37,6229.41,M524026743,2225.09,2197.75,0,0
278,PAYMENT,1020.31,C518926417,8807.28,7786.97,M585439626,35.93,0.0,0,0
211,PAYMENT,1014.74,C246660791,9998.28,8983.55,M345287221,1353.81,1208.32,0,0
283,CASH_OUT,860.67,C186786153,5376.3,4515.63,C987378542,77.5,36.94,0,0
231,PAYMENT,42.82,C785693530,656.36,598.54,M108853205,44.89,0.0,0,0
624,TRANSFER,625.89,C355021007,4240.22,3614.33,C262493096,3368.23,3994.12,0,0
242,DEBIT,777.43,C321163370,20985.45,20208.03,C144955051,130.82,0.0,0,0
187,PAYMENT,994.37,C926002635,8089.41,7095.05,M720025300,5372.65,5297.82,0,0
568,PAYMENT,179.37,C832996199,2010.88,1831.51,M738132920,301.17,277.14,0,0
478,DEBIT,1406.62,C294462073,10400.98,8994.36,C465135858,6533.95,6458.88,0,0
299,CASH_IN,719.52,C494683924,2450.19,1730.67,C922475641,1438.68,2158.2,0,0
156,TRANSFER,1611.59,C771618069,3563.53,1936.94,C176618223,190.0,1811.58,0,0
529,CASH_OUT,3637.18,C869199688,17066.23,13429.05,C133274150,1654.93,1431.32,0,0
671,CASH_IN,1721.17,C514666469,9150.8,7429.63,C498763802,885.88,2607.05,0,0
121,CASH_IN,316.51,C922719339,19723.5,19406.99,C630833150,709.04,1025.55,0,0
543,CASH_OUT,896.48,C545412114,3988.9,3092.42,C357801280,8693.7,8496.84,0,0
76,PAYMENT,516.37,C265308181,5279.9,4788.54,M464255526,1225.1,1004.35,0,0
248,PAYMENT,1282.49,C926303980,23213.35,21930.86,M977087030,905.48,712.88,0,0
103,PAYMENT,435.08,C814609573,7241.09,6806.01,M538465187,333.26,237.55,0,0
695,TRANSFER,137.85,C326480149,1231.14,1093.29,C520822564,392.38,510.23,0,0
627,PAYMENT,419.97,C357949856,18859.6,18439.64,M141836082,896.49,737.37,0,0
616,CASH_IN,501.65,C921803470,2476.01,1999.36,C580891955,4116.0,4617.65,0,0
184,CASH_OUT,510.71,C614081095,71872.02,71361.31,C455670401,33289.96,33152.49,0,0
157,CASH_OUT,68.46,C509984266,2560.59,2492.14,C613215238,4124.1,3838.68,0,0
425,CASH_OUT,4193.41,C475964406,20720.68,16527.27,C531902104,3165.99,2888.91,0,0
556,PAYMENT,101.78,C503236714,2166.58,2064.8,M925630307,1240.22,994.73,0,0
617,PAYMENT,14.85,C578881385,26589.51,26574.66,M541216819,2786.29,2556.74,0,0
106,PAYMENT,241.96,C161241118,16783.41,16541.45,M179595958,1903.84,1763.26,0,0
673,PAYMENT,24.87,C566209171,2020.68,1995.81,M638662675,670.7,545.74,0,0
103,PAYMENT,20.16,C222424860,9529.65,9509.49,M168433600,672.8,494.38,0,0
354,CASH_OUT,48.06,C564545643,3115.64,3067.58,C368507225,1122.09,1080.65,0,0
99,CASH_IN,1758.46,C106694418,9671.79,7913.33,C891657277,204208.73,205967.19,0,0
91,TRANSFER,530.76,C192417766,8157.55,7626.79,C101767615,601.97,1132.73,0,0
412,CASH_OUT,55.9,C995199161,789.41,733.51,C648638249,2462.26,2312.07,0,0
40,CASH_IN,488.29,C981779130,32071.53,31583.24,C569170393,327.46,815.75,0,0
659,PAYMENT,147.07,C782220409,11739.65,11592.58,M764364608,191.53,0.0,0,0
141,PAYMENT,83.11,C176477995,2119.21,2036.1,M600424976,719.25,616.18,0,0
3,PAYMENT,2262.77,C221745421,20332.5,18069.73,M117111396,1088.9,877.56,0,0
134,CASH_IN,697.31,C991819329,5368.39,4671.09,C335471365,90.23,787.54,0,0
606,PAYMENT,961.25,C509644061,5611.28,4650.02,M411942666,101.66,96.87,0,0
574,PAYMENT,409.16,C776503595,1963.32,1554.16,M917440109,35.01,19.49,0,0
320,PAYMENT,372.89,C408166588,4374.43,4001.54,M200050680,3836.41,3802.13,0,0
543,CASH_OUT,12.41,C839078332,359.65,347.25,C216112175,667.5,474.22,0,0
19,PAYMENT,397.49,C404187090,5008.31,4610.82,M792683575,2662.9,2511.78,0,0
584,TRANSFER,4356.39,C515089784,39885.53,35529.14,C470643898,205.36,4561.76,0,0
448,PAYMENT,496.13,C361525480,1895.83,1399.7,M616882225,4188.85,4019.29,0,0
194,CASH_OUT,384.25,C553947356,9356.83,8972.58,C542363879,2210.28,1959.31,0,0
298,PAYMENT,70.71,C838078684,35059.96,34989.25,M549955558,34707.64,34642.59,0,0
160,CASH_IN,643.59,C999542430,2618.59,1975.0,C572978973,389.6,1033.19,0,0
491,CASH_OUT,485.24,C569905697,20036.75,19551.5,C575360199,15459.37,15327.57,0,0
643,CASH_IN,681.34,C283164368,2991.84,2310.49,C901591614,1138.46,1819.81,0,0
393,PAYMENT,466.04,C510623446,4223.08,3757.04,M502140962,1809.55,1722.38,0,0
64,CASH_OUT,994.78,C226030119,11632.28,10637.5,C458513374,3110.94,3091.47,0,0
122,CASH_IN,37.67,C905700596,2795.49,2757.82,C793067021,5279.42,5317.1,0,0
406,PAYMENT,1558.48,C850258149,12899.15,11340.67,M219131820,7335.83,7116.2,0,0
709,CASH_OUT,177.63,C244823702,3030.44,2852.81,C762672550,2456.92,2380.64,0,0
105,CASH_IN,897.39,C716345162,3383.58,2486.19,C677791958,4437.51,5334.9,0,0
658,PAYMENT,311.48,C558702294,1497.7,1186.22,M785951153,12884.84,12800.98,0,0
406,CASH_IN,73.85,C827014741,27415.97,27342.12,C379726618,2558.12,2631.98,0,0
129,PAYMENT,64.82,C252348745,720.21,655.39,M944340208,1776.03,1511.03,0,0
347,PAYMENT,56.26,C135068564,844.56,738.3,M235764716,4094.02,3958.46,0,0
463,CASH_OUT,175.79,C916102256,1983.09,1807.3,C317785810,268.39,211.0,0,0
632,TRANSFER,51.75,C670946869,2210.36,2158.61,C791159157,10701.12,10752.87,0,0
120,DEBIT,159.31,C675601097,546.15,386.85,C390229819,530.18,350.28,0,0
490,PAYMENT,435.3,C159708463,3547.86,3112.55,M713693221,38409.02,38315.05,0,0
551,CASH_OUT,18887.87,C901147673,60092.77,41204.9,C467564987,117.52,59.93,0,0
262,CASH_OUT,56.37,C968747620,1679.93,1623.57,C461180183,23991.7,23798.35,0,0
48,CASH_IN,4648.63,C854348267,19955.16,15306.53,C161400648,1422.61,6071.25,0,0
324,PAYMENT,698.02,C397066226,1504.25,806.23,M472096008,7833.88,7755.61,0,0
542,CASH_OUT,289.42,C325051969,6141.87,5852.45,C949849643,20476.18,20312.57,0,0
294,CASH_OUT,93.78,C282905640,1372.71,1278.93,C248134510,5817.95,5662.51,0,0
622,PAYMENT,355.18,C200032891,6684.25,6329.07,M405024211,27064.22,26884.19,0,0
281,DEBIT,3115.11,C167314089,18067.62,14952.51,C547225126,1252.76,1054.47,0,0
184,PAYMENT,7535.02,C293458429,26794.81,19259.79,M500225957,23208.63,23126.58,0,0
692,PAYMENT,19.85,C547021666,1593.57,1573.72,M703440349,44329.15,44112.42,0,0
343,TRANSFER,1337.78,C581380565,1573.85,236.08,C357526670,1200.0,0.0,1,0
585,PAYMENT,27.89,C762704540,3551.31,3523.42,M934446265,10220.87,10154.53,0,0
181,CASH_IN,91.82,C639120549,3308.43,3216.61,C537979106,597.83,689.65,0,0
229,PAYMENT,477.76,C111745991,7139.89,6662.12,M779397712,241.7,0.0,0,0
88,PAYMENT,232.49,C812133429,2185.96,1953.46,M368104598,1813.28,1672.73,0,0
257,TRANSFER,1944.73,C472294675,10701.08,8756.35,C799395109,18619.86,20544.58,0,0
653,CASH_IN,2151.51,C703726688,16894.22,14742.71,C806347493,1595.82,3747.33,0,0
41,PAYMENT,212.59,C562120002,2631.79,2419.2,M138458892,22468.3,22180.11,0,0
666,CASH_OUT,714.76,C132637745,7468.29,6753.53,C223491588,48.47,0.0,0,0
406,PAYMENT,79.25,C837828048,8559.96,8480.71,M926695529,1840.46,1791.72,0,0
